mechanism,aggregate_mean_rank,aggregate_metric_win_count,pareto_efficient_count,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
uspl,2.5999999999999996,3,1,0,0.42273204026925104,0.0,0.0,47.94405924963877,141.5253792142288,16
fixed,2.8499999999999996,2,1,0,0.42089093580815046,0.0,0.0,48.2421875,141.7578125,8
buffer,2.5,4,1,0,0.29587398323830366,0.0,0.0,50.46875,139.53125,6
twap,2.05,7,2,1,0.7041669106630775,122.14121026476539,122.14121026476539,0.0,88.89293948676173,39
