scenario,scenario_group,start_date,end_date,price_change_pct,max_drawdown_pct,selected_after_filter,fixed_safety,fixed_bad_debt_es95,fixed_false_loss,fixed_user_loss,fixed_liq_count,fixed_feasible_topsis,fixed_feasible_rank,twap_safety,twap_bad_debt_es95,twap_false_loss,twap_user_loss,twap_liq_count,twap_feasible_topsis,twap_feasible_rank,buffer_safety,buffer_bad_debt_es95,buffer_false_loss,buffer_user_loss,buffer_liq_count,buffer_feasible_topsis,buffer_feasible_rank,uspl_safety,uspl_bad_debt_es95,uspl_false_loss,uspl_user_loss,uspl_liq_count,uspl_feasible_topsis,uspl_feasible_rank
random_drawdown_01,drawdown,2026-01-20,2026-04-01,-33.92660747234817,-42.85119031502389,,excluded,131.72858466127613,0.0,101.53055740434516,57,,,excluded,350.8080130108905,0.0,91.15471683954767,55,,,excluded,33.964204005836095,0.0,106.3896053552468,58,,,excluded,2.1960641814783344,27.31768589544017,105.03450044073452,10,,
random_drawdown_02,drawdown,2025-12-15,2026-02-24,-39.53022051138287,-45.75983105162272,,excluded,53.22355135146084,0.0,101.45826897745022,21,,,excluded,264.04573077119323,0.0,91.47336341544792,19,,,excluded,53.22355135146084,0.0,101.45826897745022,21,,,excluded,0.593523476894859,14.599837544900796,99.82114191799418,8,,
random_drawdown_03,drawdown,2025-12-14,2026-02-23,-37.26966471741059,-45.75983105162272,uspl,excluded,85.72675905477541,0.0,101.48728109895498,20,,,excluded,299.9620666045231,0.0,91.34086337625033,18,,,pass,0.0,3.300026937325514,102.30083505709094,5,0.4886311779613709,2.0,pass,0.0,27.38327214371634,99.626667821828,9,0.5113688220386291,1.0
random_drawdown_04,drawdown,2025-10-11,2025-12-21,-22.381458658692722,-34.88945764772848,fixed,pass,0.0,0.0,97.51608920466448,2,0.7141019071206438,1.0,pass,0.0,0.0,97.51608920466448,2,0.5340161055057883,3.0,pass,0.0,97.51608920466448,97.51608920466448,2,0.6138381223633833,2.0,pass,0.0,92.84231769590198,92.84231769590198,9,0.4721231697341999,4.0
random_drawdown_05,drawdown,2025-09-09,2025-11-19,-27.669375398922767,-35.83767894974103,buffer,pass,0.0,36.52276019298309,109.56828057894928,2,0.622802543380619,2.0,pass,0.0,0.0,73.04552038596619,1,0.5619171403458249,3.0,pass,0.0,73.04552038596619,73.04552038596619,1,0.6823548607634475,1.0,pass,0.0,94.81285041025134,94.81285041025134,8,0.44170596516277594,4.0
random_drawdown_06,drawdown,2025-09-17,2025-11-27,-32.78645572940981,-41.03950635064473,fixed,pass,0.0,76.34350229699685,114.51525344549526,2,0.7348443776337075,1.0,pass,0.0,0.0,133.6011290197445,3,0.5064701146887077,3.0,pass,0.0,95.42937787124606,133.60112901974446,3,0.6948225041616202,2.0,pass,0.0,129.27965987137674,129.27965987137674,13,0.47943164353179785,4.0
random_drawdown_07,drawdown,2025-10-04,2025-12-14,-31.01435701473748,-41.03950635064473,buffer,pass,0.0,95.67286161355348,133.94200625897486,3,0.6719722872079871,2.0,pass,0.0,0.0,143.5092924203302,4,0.4859059988022975,4.0,pass,0.0,95.67286161355348,133.94200625897486,3,0.678588314923248,1.0,pass,0.0,118.58111230408684,129.86112388038129,11,0.49797459100533775,3.0
random_drawdown_08,drawdown,2025-09-16,2025-11-26,-34.68420677710985,-41.03950635064473,buffer,pass,0.0,95.8526470148838,134.19370582083732,3,0.6856999473231136,2.0,pass,0.0,0.0,143.77897052232572,4,0.4846808348707009,4.0,pass,0.0,95.8526470148838,134.19370582083735,3,0.7070604271327324,1.0,pass,0.0,130.36957583398595,130.36957583398595,13,0.5020621695443686,3.0
random_drawdown_09,drawdown,2026-01-06,2026-03-18,-28.19371452444256,-45.75983105162272,buffer,excluded,60.500153022473775,0.0,106.4806483543304,44,,,excluded,256.9032106404585,0.0,96.85981619433608,42,,,pass,0.0,68.39610645729249,95.7545490402095,3,0.6356734585204132,1.0,pass,0.0,36.971754316851545,105.84991365729684,11,0.3643265414795867,2.0
random_drawdown_10,drawdown,2025-11-01,2026-01-11,-19.86674318698856,-29.292373154751328,fixed,pass,0.0,0.0,97.8126655262338,2,0.7139030642941476,1.0,pass,0.0,0.0,97.8126655262338,2,0.5336408954250764,3.0,pass,0.0,97.8126655262338,97.8126655262338,2,0.6146324702620467,2.0,pass,0.0,93.753983669634,93.753983669634,9,0.4716352043751491,4.0
random_oracle_shock_01,oracle shock,2026-03-15,2026-05-25,0.07547018008515,-15.65128439937313,twap,pass,0.0,35.534853712921084,35.534853712921084,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,35.534853712921084,35.534853712921084,1,0.0,3.5,pass,0.0,24.147560447452047,24.147560447452047,1,0.2554832316085938,2.0
random_oracle_shock_02,oracle shock,2026-03-23,2026-06-02,-2.42456358687894,-17.25074772386001,twap,pass,0.0,34.79906706240374,34.79906706240374,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,34.79906706240374,34.79906706240374,1,0.0,3.5,pass,0.0,21.7438231182102,21.7438231182102,1,0.2969639813182562,2.0
random_oracle_shock_03,oracle shock,2026-03-11,2026-05-21,4.5245899644309,-15.65128439937313,twap,pass,0.0,34.49506692675001,34.49506692675001,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,34.49506692675001,34.49506692675001,1,0.0,3.5,pass,0.0,32.60526560380812,32.60526560380812,1,0.044624760744650924,2.0
random_oracle_shock_04,oracle shock,2025-11-19,2026-01-29,-3.5421106807594605,-16.15705656019569,twap,pass,0.0,52.83428113827654,52.83428113827654,1,0.4352694261240138,2.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,52.83428113827654,52.83428113827654,1,0.4352694261240138,2.5,pass,0.0,64.81665773998557,64.81665773998557,3,0.0,4.0
random_oracle_shock_05,oracle shock,2026-03-22,2026-06-01,-3.56475111484093,-17.22568464800711,twap,pass,0.0,35.22117310121726,35.22117310121726,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,35.22117310121726,35.22117310121726,1,0.0,3.5,pass,0.0,23.5725587833498,23.5725587833498,1,0.2633426193160368,2.0
random_oracle_shock_06,oracle shock,2026-03-14,2026-05-24,1.0846506990206801,-15.65128439937313,twap,pass,0.0,35.47468372348509,35.47468372348509,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,35.47468372348509,35.47468372348509,1,0.0,3.5,pass,0.0,22.259579574821096,22.259579574821096,1,0.29498530763918834,2.0
random_oracle_shock_07,oracle shock,2026-03-13,2026-05-23,-0.58454093551231,-15.65128439937313,twap,pass,0.0,35.19519031133008,35.19519031133008,1,0.0,3.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,35.19519031133008,35.19519031133008,1,0.0,3.5,pass,0.0,24.306290337177646,24.306290337177646,1,0.24698256111909495,2.0
random_oracle_shock_08,oracle shock,2026-03-16,2026-05-26,-2.93560092160284,-15.65128439937313,twap,pass,0.0,36.865422295055616,36.865422295055616,1,0.39617093641195433,2.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,36.865422295055616,36.865422295055616,1,0.39617093641195433,2.5,pass,0.0,29.79188333894823,29.79188333894823,3,0.12703873137982877,4.0
random_oracle_shock_09,oracle shock,2025-11-18,2026-01-28,-0.006971849229764349,-16.15705656019569,twap,pass,0.0,51.20851114627345,51.20851114627345,1,0.43002138307372867,2.5,pass,0.0,0.0,0.0,0,1.0,1.0,pass,0.0,51.20851114627345,51.20851114627345,1,0.43002138307372867,2.5,pass,0.0,60.9634581888868,60.9634581888868,3,0.0,4.0
random_oracle_shock_10,oracle shock,2026-03-12,2026-05-22,3.89734803314083,-15.65128439937313,fixed,pass,0.0,0.0,0.0,0,1.0,1.5,pass,0.0,0.0,0.0,0,1.0,1.5,pass,0.0,34.77510454934547,34.77510454934547,1,0.0,4.0,pass,0.0,15.697945247741725,15.697945247741725,1,0.4357246722399568,3.0
