mechanism,window_count,solvency_violation_count,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count,avg_original_topsis,avg_mean_rank,eps5_pass_windows,eps5_excluded_windows,avg_feasible_topsis,avg_feasible_rank
buffer,9,0,0.0,0.0,299.8743909009971,475.4854024721374,14,0.24382780427853717,2.5999999999999996,9,0,0.20825332444637235,2.5
fixed,9,1,96.09218249141368,85.72675905477541,261.7992594143261,439.896743964656,28,0.3308724525021489,2.5555555555555554,8,1,0.2947090293163876,2.5
twap,9,1,344.24834932812405,299.9620666045231,0.0,378.6291263189063,26,0.4886450346215337,2.3444444444444446,8,1,0.49632335420912477,2.375
uspl,9,0,0.0,0.0,336.03530822256215,419.55871547696825,36,0.2883179228219113,2.5,9,0,0.2821199493095263,2.388888888888889
