scenario,scenario_group,start_date,end_date,initial_price,ending_price,cumulative_return,account_debt_usdc
real_normal_1,normal,2026-03-15,2026-05-25,2096.556369062344,2098.138643929662,0.000754701800851576,1421.3941485168434
real_normal_2,normal,2025-11-18,2026-01-28,3021.3021576301335,3021.091516998928,-6.971849229764349e-05,2048.340445850938
real_normal_3,normal,2026-02-03,2026-04-15,2344.512261445349,2323.217827319875,-0.009082671255618124,1589.4998382680333
real_drawdown_1,drawdown,2025-12-11,2026-02-20,3326.260211637518,1946.9092613594232,-0.414685220793066,2255.091668906792
real_drawdown_2,drawdown,2026-01-16,2026-03-28,3318.203702349166,1991.9001004362856,-0.39970529867527615,2249.6296287112996
real_drawdown_3,drawdown,2025-09-13,2025-11-23,4708.841744149995,2768.6178294996353,-0.4120384629746342,3192.4350807796577
counterfactual_oracle_shock_1,oracle shock,2026-03-15,2026-05-25,2096.556369062344,2098.138643929662,0.000754701800851576,1421.3941485168434
counterfactual_oracle_shock_2,oracle shock,2025-11-18,2026-01-28,3021.3021576301335,3021.091516998928,-6.971849229764349e-05,2048.340445850938
counterfactual_oracle_shock_3,oracle shock,2026-02-03,2026-04-15,2344.512261445349,2323.217827319875,-0.009082671255618124,1589.4998382680333
