mechanism,aggregate_mean_rank,aggregate_metric_win_count,pareto_efficient_count,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
buffer,2.566666666666667,96,20,2,0.36881511569398645,65.49291580262383,53.22355135146084,1013.4286489782241,1462.417728613477,111
uspl,2.61,87,16,2,0.24245531991892136,2.1960641814783344,2.1960641814783344,1137.7167762103563,1453.0564617235955,122
twap,2.2366666666666664,123,28,4,0.592965674985088,393.1975091439988,350.8080130108905,0.0,1060.092426904847,150
fixed,2.5866666666666664,91,20,4,0.3964810170913992,139.43022963339004,131.72858466127613,656.0200205361301,1450.1330060879486,165
