mechanism,window_count,bad_debt_window_count,avg_topsis_score,avg_mean_rank,max_bad_debt,avg_bad_debt_es95,total_false_liquidation_loss,total_user_loss,total_liquidation_count
uspl,20,5,0.6154900554492577,2.18,2.833010701435512,0.30038775004644264,488.54011400222856,1990.5039892843076,178
buffer,20,10,0.7131645094250447,2.445,65.49291580262383,11.73557297910769,418.3800335338531,2014.189959969141,160
fixed,20,13,0.6847285967730984,2.56,118.33221150407404,38.25668421325482,192.3930706603173,2000.5282472576985,258
twap,20,20,0.4020297108733807,2.815,399.9691304468373,213.7022827800908,0.0,1826.8390531399998,384
