mechanism,aggregate_mean_rank,aggregate_metric_win_count,pareto_efficient_count,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
buffer,2.488888888888889,24,7,0,0.5101334194165373,0.0,0.0,432.49870677569265,536.9149503609046,16
fixed,2.5,24,7,1,0.49908986041026054,117.32086504692975,115.95863001159229,362.18071200285357,511.1699346470969,64
uspl,2.822222222222222,20,6,1,0.36019035892460977,2.7262377306676058,2.7262377306676058,405.1957307416838,557.9062506430905,44
twap,2.1888888888888887,36,9,2,0.5665403436461066,336.7111515111001,323.4251385169886,0.0,392.80403800747314,72
