scenario_group,scenario,start_date,end_date,price_change_pct,max_drawdown_pct,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count,feasible_topsis,feasible_rank
normal,random_normal_01,2026-03-15,2026-05-25,0.07547018008515,-15.65128439937313,0.0,0.0,0.0,0.0,0,0.0,2.5
normal,random_normal_02,2026-03-23,2026-06-02,-2.42456358687894,-17.25074772386001,0.0,0.0,0.0,0.0,0,0.0,2.5
normal,random_normal_03,2026-03-11,2026-05-21,4.5245899644309,-15.65128439937313,0.0,0.0,0.0,0.0,0,0.0,2.5
drawdown,random_drawdown_03,2025-12-14,2026-02-23,-37.26966471741059,-45.75983105162272,0.0,0.0,27.38327214371634,99.626667821828,9,0.5113688220386291,1.0
drawdown,random_drawdown_08,2025-09-16,2025-11-26,-34.68420677710985,-41.03950635064473,0.0,0.0,130.36957583398595,130.36957583398595,13,0.5020621695443686,3.0
drawdown,random_drawdown_07,2025-10-04,2025-12-14,-31.01435701473748,-41.03950635064473,0.0,0.0,118.58111230408684,129.86112388038129,11,0.4979745910053377,3.0
oracle shock,random_oracle_shock_10,2026-03-12,2026-05-22,3.89734803314083,-15.65128439937313,0.0,0.0,15.697945247741725,15.697945247741725,1,0.4357246722399568,3.0
oracle shock,random_oracle_shock_02,2026-03-23,2026-06-02,-2.42456358687894,-17.25074772386001,0.0,0.0,21.7438231182102,21.7438231182102,1,0.2969639813182562,2.0
oracle shock,random_oracle_shock_06,2026-03-14,2026-05-24,1.08465069902068,-15.65128439937313,0.0,0.0,22.259579574821096,22.259579574821096,1,0.2949853076391883,2.0
