mechanism,pass_windows,excluded_windows,selected_windows,avg_feasible_topsis,avg_feasible_rank,max_bad_debt,bad_debt_es95
fixed,26,4,14,0.36172253356038137,2.4038461538461537,139.43022963339004,131.72858466127613
twap,26,4,9,0.6194858111399384,2.076923076923077,393.1975091439988,350.8080130108905
buffer,28,2,4,0.33489511006064143,2.4285714285714284,65.49291580262383,53.22355135146084
USPL,30,0,3,0.19019246574124837,2.783333333333333,2.1960641814783344,2.1960641814783344
