scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,scenario_group,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
random_normal_01,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_01,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_01,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_01,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_02,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.9626824961497,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_02,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.9626824961497,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_02,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.9626824961497,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_02,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1391.9626824961497,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_03,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1379.8026770700005,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_03,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1379.8026770700005,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_03,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1379.8026770700005,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_03,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1379.8026770700005,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_04,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2113.3712455310615,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_04,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2113.3712455310615,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_04,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2113.3712455310615,normal,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
random_normal_04,uspl,0.0,0.0,0.0,0.0,2,23.964753203418077,23.964753203418077,2,,0.0,0.0,0.8245030913966735,1634.0761814627,normal,0.0,True,False,0.0,4.0,2.5,4.0,4.0,2.5,4.0,3.4,2,29.955941504272594,0.0
random_normal_05,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1408.8469240486904,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_05,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1408.8469240486904,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
random_normal_05,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1408.8469240486904,normal,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
