mechanism,aggregate_mean_rank,aggregate_metric_win_count,pareto_efficient_count,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
uspl,2.5,24,8,1,0.555011947907326,2.1960641814783344,2.1960641814783344,768.9907342508351,1066.7314362013321,91
buffer,2.35,28,10,2,0.7034017058046367,65.49291580262383,53.22355135146084,646.1598673338765,1056.879802323708,100
fixed,2.54,20,9,4,0.6644999181444136,139.43022963339004,131.72858466127613,408.85657762337144,1059.1495350755808,155
twap,2.6100000000000003,25,9,4,0.44842633843830637,393.1975091439988,350.8080130108905,105.04536078106288,1050.5071622033586,149
