mechanism,pass_windows,excluded_windows,selected_windows,avg_feasible_topsis,avg_feasible_rank
fixed,26,4,14,0.36172253356038137,2.4038461538461537
twap,26,4,9,0.6194858111399384,2.076923076923077
buffer,28,2,4,0.33489511006064143,2.4285714285714284
USPL,28,2,1,0.20377764186562325,2.9107142857142856
