scenario_group,mechanism,window_count,solvency_violation_count,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_delay,liquidation_count,avg_topsis_score,avg_mean_rank
drawdown,buffer,3,0,0.0,0.0,246.411602024746,350.8278456099581,0.6666666666666666,11,0.6599237707895577,2.466666666666667
drawdown,fixed,3,1,117.32086504692975,115.95863001159229,176.09360725190697,325.0828298961503,3.0,59,0.626793093770727,2.5
drawdown,twap,3,2,336.7111515111001,323.4251385169886,0.0,313.3290460940715,14.0,70,0.38842686662695775,2.533333333333333
drawdown,uspl,3,1,2.7262377306676058,2.7262377306676058,194.71727899788004,347.4277988992868,0.0,33,0.6399374972156602,2.5
normal,buffer,3,0,0.0,0.0,39.73749595670083,39.73749595670083,1.0,1,0.5384526944811636,2.3333333333333335
normal,fixed,3,0,0.0,0.0,39.73749595670083,39.73749595670083,1.0,1,0.5384526944811636,2.3333333333333335
normal,twap,3,0,0.0,0.0,0.0,39.73749595670083,6.0,1,0.4858637140764485,2.3333333333333335
normal,uspl,3,0,0.0,0.0,63.589922795584954,63.589922795584954,0.6666666666666666,4,0.1808029525902182,3.0
oracle shock,buffer,3,0,0.0,0.0,146.3496087942458,146.3496087942458,1.0,4,0.33202379297889095,2.6666666666666665
oracle shock,fixed,3,0,0.0,0.0,146.3496087942458,146.3496087942458,1.0,4,0.33202379297889095,2.6666666666666665
oracle shock,twap,3,0,0.0,0.0,0.0,39.73749595670083,6.0,1,0.8253304502349136,1.7
oracle shock,uspl,3,0,0.0,0.0,146.88852894821883,146.88852894821883,0.6666666666666666,7,0.259830626967951,2.966666666666667
